-- Testing: 210 tests, 12 workers --
PASS: LLVM :: tools/llvm-objcopy/ELF/dynsym.test (71 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/dynrelocsec-remove-shlink-reference.test (72 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/elf64be.test (73 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/elf32le.test (74 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/empty-section.test (75 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/error-format.test (76 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/explicit-keep-remove.test (77 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/explicit-only-section-remove.test (78 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/group-reorder.test (79 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/group-addr-misaligned.test (80 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/fail-no-output-directory.test (81 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/identical-segments.test (82 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/group-big-endian.test (83 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/group-unchanged.test (84 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/hexagon-unsupported-on-x86.test (85 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/globalize.test (86 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/group.test (87 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/ihex-writer.test (88 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/ihex-reader.test (89 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/input-output-target.test (90 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/invalid-e_phoff.test (91 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/keep-file-symbols.test (92 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/keep-many.test (93 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/keep-only-section.test (94 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/invalid-p_filesz-p_offset.test (95 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/keep-global-symbols-mix-globalize.test (96 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/invalid-preserve-dates.test (97 of 210)
UNSUPPORTED: LLVM :: tools/llvm-objcopy/ELF/mirror-permissions-win.test (98 of 210)
